"ID","CondThreat","CondDiscomfort","dissonance.1.scale","Issue.imp_scale"
"219","threat","before",1.75,70.825
"220","neutral","before",1,50.575
"221","neutral","after",1,100
"222","neutral","before",4.25,50.075
"223","threat","before",1,87.85
"224","threat","after",1,66.2
"225","neutral","before",1.75,71.275
"226","threat","before",1,80.025
"227","neutral","before",4,76.775
"228","neutral","before",3,85.075
"229","neutral","before",1,67.2
"230","threat","after",1,92.85
"231","neutral","after",1.75,64.15
"232","threat","after",1.75,69.875
"233","neutral","before",1.75,97.325
"234","threat","after",4.75,58.95
"235","neutral","before",1.25,68.725
"236","neutral","before",1,78.175
"237","threat","after",1,40
"238","threat","after",1.25,48.825
"240","neutral","before",3,56.275
"241","neutral","before",1,87.6
"242","threat","before",1.75,87.95
"243","neutral","after",1,64.35
"244","neutral","before",5,83.975
"245","threat","after",1,91.925
"246","neutral","before",1,62.475
"247","neutral","before",1,34.475
"248","threat","after",1,33.225
"249","neutral","before",2,74.825
"250","threat","after",1.75,77.05
"252","neutral","after",1.5,36.65
"253","threat","after",4,51.625
"254","neutral","after",3.25,77.875
"256","neutral","after",1,92.05
"257","threat","before",2,49.725
"258","neutral","before",1,37.65
"260","neutral","after",3.75,76.45
"261","threat","before",3,97.875
"262","neutral","after",1.25,100
"263","neutral","after",1.5,57.725
"264","threat","before",1.25,81.45
"265","neutral","before",1,100
"266","threat","after",1.75,72.3
"267","threat","before",5,88.675
"268","neutral","before",1,49.85
"270","neutral","after",1,46.075
"271","threat","before",2,91.85
"272","threat","before",1.75,58.725
"273","threat","after",1,74.85
"274","neutral","before",1,80.1
"275","threat","before",1.75,89.025
"276","neutral","after",2.25,70.325
"277","neutral","after",1,70.05
"280","neutral","after",1.75,84.35
"281","neutral","before",1.5,93
"282","neutral","after",4.25,55.025
"283","neutral","before",2.25,51.75
"284","threat","after",2.5,100
"285","threat","after",1.25,73.275
"286","threat","before",2,90.3
"287","neutral","before",3.75,75.325
"288","threat","before",4.25,87.6
"289","threat","before",1,28.675
"290","neutral","before",1,49.85
"291","threat","before",4.5,21.975
"292","threat","before",1,82.825
"293","neutral","after",1,39.3
"294","threat","after",2.25,57.3
"295","neutral","after",2,80.75
"296","neutral","after",1,50.575
"298","threat","after",1.75,60.575
"299","neutral","after",1,55.5
"300","threat","before",1,88.325
"301","neutral","before",1,84.125
"302","threat","before",1.25,76.175
"304","threat","after",1,61.7
"305","neutral","before",3,50.975
"306","threat","before",1.75,57.225
"307","neutral","before",1,71.95
"308","threat","before",1,66.05
"309","threat","after",2,96.875
"310","threat","before",2.5,73.3
"311","neutral","after",1,94.65
"312","neutral","after",3.25,56.525
"313","threat","after",1,87.4
"314","neutral","after",2.5,94.975
"315","neutral","after",1.25,67.75
"316","threat","before",5,63.25
"318","threat","after",1,100
"321","threat","after",2.75,88.95
"322","threat","before",2.75,80.2
"323","threat","before",1.75,20.025
"326","threat","before",1,64.5
"327","threat","after",3.5,77.75
"328","threat","before",1,57.825
"329","threat","before",5,91.95
"330","threat","before",2.5,89.35
"331","threat","before",1,99.925
"332","threat","before",3,65.3
"334","threat","before",4,50.5
"335","threat","after",1,75.325
"336","threat","after",1.25,94
"337","threat","before",5.25,83.8
"338","threat","after",1,50.325
"339","threat","before",1.25,78.8
"340","threat","after",3.25,68.15
"341","threat","after",1,42.35
"342","threat","before",1,81.625
"343","threat","after",1.25,56.3
"344","threat","before",1.25,93.25
"345","threat","before",1,82.325
"346","threat","after",5,20.975
"347","threat","after",3.25,75
"348","threat","before",4,61.775
"350","threat","before",3.75,68.675
"351","threat","before",1.25,82.625
"352","threat","before",1,70.9
"353","threat","after",1.5,57.15
"354","threat","after",2.75,75
"355","threat","after",2.5,62.825
"356","threat","before",3.5,61
"357","threat","after",1,97.7
"358","threat","after",1,77.9
"359","threat","after",4.5,17
"361","threat","before",3.75,55.475
"362","threat","before",1,98.825
"364","threat","before",1,96.925
"365","threat","after",1,100
"367","threat","after",1,92.55
"368","threat","before",5,88.675
"369","threat","after",1,75
"370","threat","before",1,100
"371","threat","before",2,95.725
"372","threat","after",1,66.825
"373","threat","after",1,28.525
"374","threat","after",1,86.725
"376","threat","after",1.75,98.025
"377","threat","after",1,71.025
"378","threat","before",1,100
"379","threat","after",1,83.1
"381","threat","before",3.5,85.975
"382","threat","before",2.5,45.1
"383","threat","before",1.25,47.825
"384","threat","after",1,91.95
"385","threat","after",1,64.05
"386","threat","after",1,74.2
"388","threat","before",1.25,96.425
"389","threat","before",1.75,73.35
"390","threat","after",3.75,65.4
"391","threat","before",3.75,27.225
"392","threat","after",1,79.55
"393","threat","before",3.5,85.125
"395","threat","after",1,51.35
"396","threat","after",1,49.475
"397","threat","before",1.25,47.675
"398","threat","after",2.5,51.775
"399","threat","after",1,83.325
"400","threat","before",1,75.225
"401","threat","before",3.5,32.675
"402","threat","before",2.75,73.025
"403","threat","after",4,100
"404","threat","before",1.5,90.95
"405","threat","before",5.75,79.375
"407","threat","after",1,84.225
"409","threat","before",2.75,46.6
"410","threat","after",1.25,40.325
"412","threat","before",1.5,86.6
"413","threat","after",1.75,72.575
"414","threat","after",2.75,83.275
"416","threat","before",1,82.95
"417","threat","after",2.75,53.75
"418","threat","before",4.5,55.025
"419","threat","after",2.5,77.025
"420","threat","before",3.5,40.775
"421","threat","before",1,34.575
"422","threat","after",5,31.9
"423","threat","before",5,100
"424","threat","before",4,43.85
"425","threat","after",1,97.175
"426","threat","before",1.5,31.5
"427","threat","before",1,83.8
"430","threat","after",2.75,100
"431","threat","before",1,67.5
"434","threat","after",2,91.725
"435","threat","after",1,54.375
"436","threat","before",3.25,95.45
"437","threat","before",2,79.425
"438","threat","before",1,81.975
"439","threat","before",1,96.775
"440","threat","after",1.25,56.675
"442","threat","after",1,85.35
"443","threat","before",4,100
"445","threat","after",6,70.25
"446","threat","before",1,82.875
"448","threat","after",1,89.025
"450","threat","before",6,100
"451","threat","before",3.75,99.3
"452","threat","before",2.25,100
"453","threat","after",3.75,62.75
"455","threat","after",1,63.925
"456","threat","after",5.75,48
"457","threat","after",1,100
"458","threat","before",3,31.7
"460","threat","before",2.75,86.3
"461","threat","after",1,43.475
"462","threat","before",5,41.75
"463","threat","after",1,99
"464","threat","after",4,69
"465","threat","before",3,95
"466","threat","before",1,93.225
"467","threat","after",1.25,93.65
"468","threat","after",4.75,74.425
"469","threat","after",1.25,87.925
"470","threat","before",2.75,73.45
"471","threat","before",2,77.25
"472","threat","after",1,100
"473","threat","after",2.5,77.025
"474","threat","before",4.25,55.775
"475","threat","after",1,50.65
